Turn Index	Speaker	Transcription
1	Agent	Thank you for calling delta dental. My name is XXXX how can I help you
2	Caller	Hi my name is XXXX. I'm calling. I. I called a few weeks ago because I needed to get half direction on how to process an out of network out of state claim
3	Agent	okay?
4	Caller	and the agent for Delta was very helpful and I mailed it in a few weeks ago. I just wanna confirm that you've received it and where the claim is that in terms of being processed.
5	Agent	Okay. I can certainly assist with that claim information. Do you have your I D number
6	Caller	I do the ID is 99999 and I'm 999 I guess my wife 999 Howard.
7	Agent	okay
8	Caller	How
9	Agent	and your last name
10	Caller	would
11	Agent	and
12	Caller	I
13	Agent	date of. I'm sorry.
14	Caller	Doctor block and my birthdate is August 99, 9999
15	Agent	Okay? What was that date of service. The appointment
16	Caller	99-Jun
17	Agent	okay
18	Caller	of 23 it was for a doctor Ag Steen in Jerusalem Israel.
19	Agent	alright so I'm not seeing that yet. But let me see if it's even been put in the folder yet. And there was a claim for you. I'm sorry I forgot to ask.
20	Caller	Yes. Yes.
21	Agent	Okay
22	Caller	The claim was for me.
23	Agent	okay
24	Caller	I
25	Agent	alright
26	Caller	was told to mail it to PO Box 99999 in 99999.
27	Agent	yes that is correct. Let me check here folder here alright
28	Caller	Okay
29	Agent	alright so I am seeing we received it. I'm seeing 814. Let me see here. It's
30	Caller	that's great news cuz you can't trust the mail today?
31	Agent	copy of the bill. Okay alright so there was an update. So it looks like they sent it over to be reprocessed and there was an agent that put in the notes that we needed a claim form now? Did they tell you we needed a claim form.
32	Caller	No. They
33	Agent	Okay
34	Caller	told me specifically not need a claim form. The agent that I spoke with on the phone. She was very helpful. You said no. Just send me the bill.
35	Agent	yeah I I mean I definitely know there are some instances where you know we just accept a statement so I'm just a little confused as to why this yeah because I'm seeing the procedure codes in the
36	Caller	She said as long as the procedure codes are on there you're fine.
37	Agent	yeah and they are and the pricing and everything is on here as well. Okay. Alright. Let me go ahead and shit
38	Caller	And since you have all the information there. I hope I don't have to. You may do you
39	Agent	yeah I'm I'm hoping not either just because I mean I know some things. We can definitely take as far as the statements and everything from a date of service. So I'm just a little confused at this one here. Plus it was it was out of the country. Correct?
40	Caller	correct.
41	Agent	Yeah. So how are they supposed to fill out a claim form. If they're not
42	Caller	So I sent it in from from from California. Even
43	Agent	where
44	Caller	though they're
45	Agent	you
46	Caller	out of the country. But I was just following directions.
47	Agent	yeah definitely in. I agree them them pretty much not processing. It is is kind of an issue. So but I I? I do wanna ask one of my coordinators just to make sure
48	Caller	Yeah. Could you check maybe with a supervisor to
49	Agent	yeah absolutely.
50	Caller	just say hey. Just you got everything that you need. I appreciate your help and your patience. How do you spell your name. By the way
51	Agent	Yes
52	Caller	so I can pronounce it right.
53	Agent	my name is 999
54	Caller	Okay. Sorry.
55	Agent	yes
56	Caller	Alright well
57	Agent	alright
58	Caller	you're very pleasant to talk
59	Agent	yeah
60	Caller	to you. At least that's a good thing.
61	Agent	that is good and you as well. Given the
62	Caller	Thank you.
63	Agent	circumstances. Definitely so am I able to place you on a brief hold so I can get information from a coordinator.
64	Caller	Yes please don't worry about it and and let me give you my cell number in case we get cut off.
65	Agent	Okay.
66	Caller	I hope you don't yeah 999 area
67	Agent	Okay.
68	Caller	and the number is 9999999
69	Agent	Okay.
70	Caller	if you could help me out. I'd be very appreciative.
71	Agent	Definitely I'm just gonna place you in a brief hold.
72	Caller	Okay. Thank you.
73	Agent	Thank you. I apologize for the long wait. I am
74	Caller	No
75	Agent	still communicating trying to see what we're gonna do moving forward. I do believe that we we should definitely be able to send this back for an adjustment. But I just wanna double check and we're
76	Caller	okay.
77	Agent	still kinda.
78	Agent	I just wanted to give you a heads up.
79	Caller	I appreciate
80	Agent	Okay.
81	Caller	it. I've got 18 grandchildren. I'm a patient man but I
82	Agent	Okay.
83	Caller	appreciate. I know so all I can do is say thank you and be patient and wait so I'm still here
84	Agent	No problem.
85	Caller	and I know
86	Agent	So
87	Caller	you got
88	Agent	I.
89	Caller	help out.
90	Agent	I do have a question. It was it pay by credit card.
91	Caller	I it may have been yes I think it was yes it was
92	Agent	Okay? Are you able to provide me the proof of payment. I
93	Caller	sure
94	Agent	mean it does say treatment paid in full. But it looks like one of the coordinators are stating that we may need a receipt regarding the payment portion
95	Caller	I
96	Agent	and
97	Caller	can.
98	Agent	if you can
99	Caller	I
100	Agent	e-mail me that
101	Caller	well stay with me. What I'll do is I'll
102	Agent	okay?
103	Caller	go to the credit
104	Caller	and I'll I'll I'll highlight the payment that was made across out my account.
105	Agent	Yes. Certainly
106	Caller	Hold on I because I mean even the receipt that I got from them. Would show up in Israeli check else which
107	Agent	okay
108	Caller	won't help you much but you want my credit card receipt to show the dollar amount right
109	Agent	exactly yes as long as
110	Caller	okay
111	Agent	it matches the claim. That's all I need is just the proof of payment on your end?
112	Caller	okay let me try and look this thing up my computer's thinking log in not have those statements these statements. Thank you for your patience.
113	Agent	Yeah no problem at all and take your time. There is no rush. I am not in a hurry.
114	Caller	Okay. Very good. Okay. I don't wanna lose you so good so okay.
115	Agent	I
116	Agent	appreciate that.
117	Caller	Okay. I'm pretty sure it was paid by a credit card you the date is June 22 right.
118	Agent	Yes
119	Caller	I'm trying to okay I don't see it on this card. Let me try following. I'll have to look at another credit card. Then I'm pretty sure it's on a credit card.
120	Agent	okay
121	Caller	Let me go pull my original paperwork. Hang on just one second.
122	Agent	yeah. Take your time.
